Title,Standfirst,Brief,Hook,Live URL,Editor,Studio,Word count,Editor rating,Draft progress,Goal attainment,Production cost,Channel,Author,Topics,Series,Editorial status,Evergreen,Publish on,Draft from,Publish by,Last edited,Cost / word,Follows on from,Follow-ups,Assets,Created,Modified
A week with three note apps,Held back a week for the release it depends on.,Evergreen: worth refreshing every six months rather than replacing.,*Second* in the series,blog.example.com/a-week-with-three-note-apps,priya.raman@editorial.example.com,+31 20 247 1528,2202,5,34,,1114,Newsletter,Mira Rautio,tutorial,explainer,Scheduled,true,2026-03-12,2026-03-05,2026-03-12,2026-02-25T10:45,,"22 — Mobile first, actually, 09 — The case against infinite scroll",,,,
"Local-first, three years on",Commissioned after three separate user reports asked the same question.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,,blog.example.com/local-first-three-years-on,priya.raman@editorial.example.com,+31 20 797 3591,504,5,80,,1601.32,Newsletter,Iris Vandenberg,design,changelog,Spiked,false,2026-02-25,2026-02-23,2026-02-25,2026-02-20T19:45,,,,Database Testbed/Attachments/release-notes.txt,,
The trouble with tags,Held back a week for the release it depends on.,,Wait for the `0.0.24` numbers,blog.example.com/the-trouble-with-tags,etienne.girard@editorial.example.com,+31 20 291 7083,1423,2,10,,1999.12,Docs,Étienne Girard,"tutorial, engineering",explainer,In Edit,false,2026-04-14,2026-03-25,2026-04-14,,,09 — The case against infinite scroll,,,,
Formulas people actually use,Held back a week for the release it depends on.,,~~Spiked~~ revived,blog.example.com/formulas-people-actually-use,priya.raman@editorial.example.com,,3488,5,,,2235.52,Blog,Iris Vandenberg,"design, interview, tutorial, product, opinion",,Published,false,2026-04-01,2026-03-22,2026-04-01,2026-03-21T08:00,,28 — Naming things in a plugin,,,,
Board views and the status trap,Held back a week for the release it depends on.,Evergreen: worth refreshing every six months rather than replacing.,,,iris.vandenberg@editorial.example.com,,952,3,26,,840.72,Social,Noah Kimani,"tutorial, design, interview, engineering, product, opinion",field-notes,In Edit,false,2026-03-13,2026-02-25,2026-03-13,2026-02-16T18:00,,"13 — A week with three note apps, 26 — Benchmarking on a real device",,,,
Migrating a thousand notes,Best performing piece of the quarter.,"The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",,,mira.rautio@editorial.example.com,,473,2,64,56,522.51,Blog,Noah Kimani,"engineering, tutorial, product, interview, opinion","field-notes, deep-dive",Spiked,false,2026-04-05,2026-04-04,2026-04-05,2026-03-23T12:45,,17 — Board views and the status trap,,,,
Reading a capture properly,"Second in the series, and the one people will link to.",Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,Wait for the `0.0.24` numbers,,priya.raman@editorial.example.com,+31 20 629 5712,3529,3,,38,1982.44,Blog,Priya Raman,"design, tutorial, opinion, interview",,Idea,false,2026-03-18,2026-03-13,2026-03-18,2026-03-11T14:15,,,,,,
Why we removed a feature,Held back a week for the release it depends on.,Evergreen: worth refreshing every six months rather than replacing.,*Second* in the series,blog.example.com/why-we-removed-a-feature,etienne.girard@editorial.example.com,+31 20 939 5249,4609,1,73,14,1981.26,,Noah Kimani,"product, design, engineering, opinion, tutorial, interview","deep-dive, explainer",Scheduled,true,2026-05-17,2026-05-10,2026-05-17,2026-05-06T17:15,,"21 — Our release cadence, 08 — Rollups explained without jargon",,,,
Our release cadence,"Second in the series, and the one people will link to.",,~~Spiked~~ revived,,mira.rautio@editorial.example.com,+31 20 601 7828,2560,,66,31,544.77,Social,Étienne Girard,"design, opinion, tutorial, engineering, interview",field-notes,Spiked,false,2026-05-01,2026-04-28,2026-05-01,2026-04-28T13:30,,,,Database Testbed/Attachments/release-notes.txt,,
"Mobile first, actually",Held back a week for the release it depends on.,"The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",*Second* in the series,blog.example.com/mobile-first-actually,,,2418,5,63,33,427.32,Docs,Mira Rautio,,field-notes,Idea,false,2026-04-13,2026-04-03,2026-04-13,2026-03-28T18:15,,26 — Benchmarking on a real device,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Sync conflicts and how to survive them,Best performing piece of the quarter.,,~~Spiked~~ revived,blog.example.com/sync-conflicts-and-how-to-survive-them,,+31 20 828 6736,4288,1,95,99,,Docs,Étienne Girard,"interview, product, tutorial",,Published,false,2026-03-31,2026-03-14,2026-03-31,2026-03-14T07:00,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
The property panel redesign,"Second in the series, and the one people will link to.",,*Second* in the series,blog.example.com/the-property-panel-redesign,mira.rautio@editorial.example.com,+31 20 926 6535,3930,5,40,17,1623.67,Docs,Noah Kimani,"product, engineering, tutorial",deep-dive,Spiked,true,2026-06-09,2026-05-20,2026-06-09,2026-05-09T10:15,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Six months of user reports,Commissioned after three separate user reports asked the same question.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,~~Spiked~~ revived,blog.example.com/six-months-of-user-reports,noah.kimani@editorial.example.com,+31 20 476 3612,1079,1,16,,593.58,Social,,"tutorial, opinion, product, engineering, interview",,Spiked,true,2026-05-21,2026-05-19,2026-05-21,2026-05-11T09:15,,,,,,
Benchmarking on a real device,Spiked after the feature it described was removed.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,**Evergreen** candidate,,iris.vandenberg@editorial.example.com,,4385,5,66,,750.84,Video,Iris Vandenberg,"design, tutorial, engineering","field-notes, explainer",Drafting,true,2026-03-28,2026-03-08,2026-03-28,2026-03-05T19:00,,,,Database Testbed/Attachments/release-notes.txt,,
What a gate should block,"Second in the series, and the one people will link to.","The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",**Evergreen** candidate,,,+31 20 956 7389,1152,3,54,,1257.47,Video,Priya Raman,,"deep-dive, explainer",Drafting,false,2026-02-11,2026-01-29,2026-02-11,2026-01-24T13:00,,,,,,
Naming things in a plugin,Commissioned after three separate user reports asked the same question.,,**Evergreen** candidate,blog.example.com/naming-things-in-a-plugin,etienne.girard@editorial.example.com,,1567,3,68,47,667.98,Blog,Mira Rautio,interview,"deep-dive, field-notes",Published,true,2026-06-03,2026-05-13,2026-06-03,2026-05-12T08:45,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Deprecating a view,Commissioned after three separate user reports asked the same question.,"The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",==Top performer==,blog.example.com/deprecating-a-view,noah.kimani@editorial.example.com,,2774,5,83,60,25.46,Video,Mira Rautio,"interview, design, engineering, opinion","deep-dive, changelog",In Edit,false,2026-05-13,2026-04-27,2026-05-13,2026-04-21T19:15,,,,,,
The cost of an option,Spiked after the feature it described was removed.,Evergreen: worth refreshing every six months rather than replacing.,*Second* in the series,,etienne.girard@editorial.example.com,+31 20 907 1332,3897,3,4,,285.03,Social,Noah Kimani,"interview, opinion, tutorial, product, design, engineering",explainer,Idea,false,2026-03-17,2026-03-07,2026-03-17,2026-03-07T10:00,,,,,,
An interview with a power user,Spiked after the feature it described was removed.,,~~Spiked~~ revived,blog.example.com/an-interview-with-a-power-user,noah.kimani@editorial.example.com,+31 20 460 2794,500,3,16,85,509.16,Newsletter,Mira Rautio,tutorial,"field-notes, changelog",Idea,true,2026-05-06,2026-04-24,2026-05-06,2026-04-21T19:15,,15 — The trouble with tags,,,,
"Roadmap, second half",,,,,,,,,,,,,,,,,,,,,,,,,,,
