Title,Summary,Notes,Headline,Link,Email,Phone,Amount,Rating,Progress,Attainment,Budget,Priority,Owner,Labels,Tags,Status,Pinned,Due,Starts,Ends,Reviewed,Ratio,Related,Related count,Attachments,Created,Modified
SSO for enterprise tenants,Handed to the platform team for the data leg.,,Needs `feature-flag` cleanup first,,,,2,4,7,,9880.74,High,,"backend, mobile, design, infra",,Archived,true,2026-04-11,2026-03-29,2026-04-11,,,15 — Incident retrospective actions,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Incident retrospective actions,Second attempt after the first rollback.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",Needs `feature-flag` cleanup first,testbed.example.com/incident-retrospective-actions,renee.dubois@testbed.example,+31 20 976 6276,4,,53,54,37295.3,,Jean Bartik,"design, urgent","growth, infra",In Progress,false,2026-06-09,2026-05-22,2026-06-09,2026-05-13T10:00,,"23 — Zero-cost cleanup, 12 — Pricing experiment",,,,
Performance budget,Handed to the platform team for the data leg.,,Needs `feature-flag` cleanup first,testbed.example.com/performance-budget,jean.bartik@testbed.example,+31 20 222 7244,13,,92,43,6162.78,Low,Mehmet Öztürk,infra,design-systems,Blocked,false,2026-05-15,2026-05-12,2026-05-15,2026-05-10T17:45,,,,Database Testbed/Attachments/release-notes.txt,,
Legacy importer retirement,Scope confirmed with the steering group.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",~~Deferred~~ then reinstated,testbed.example.com/legacy-importer-retirement,grace.hopper@testbed.example,+31 20 276 5403,5,5,36,1,45765.29,High,Renée Dubois,"backend, research, design","mobile, platform",Done,false,2026-05-03,2026-04-30,2026-05-03,2026-04-26T12:00,,"16 — Performance budget, 22 — This is a deliberately very long project title that should overflow and force truncation on narrow phone columns",,,,
Deal desk workflow,Waiting on a decision about the phone build.,,~~Deferred~~ then reinstated,testbed.example.com/deal-desk-workflow,mehmet.ozturk@testbed.example,+31 20 871 3190,18,4,31,67,47812.4,Medium,Jean Bartik,"research, infra, urgent","infra, platform",Done,false,2026-05-12,2026-04-23,2026-05-12,2026-04-15T16:30,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Security review follow-ups,Rolled out to ten percent of accounts.,,Needs `feature-flag` cleanup first,testbed.example.com/security-review-follow-ups,jean.bartik@testbed.example,+31 20 346 4423,20,4,60,40,19345.93,High,Jean Bartik,"infra, design","design-systems, platform",Done,false,2026-04-01,2026-03-22,2026-04-01,,,"07 — Data warehouse cutover, 12 — Pricing experiment",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Roadmap planning cycle,Rolled out to ten percent of accounts.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",*Waiting* on the vendor,testbed.example.com/roadmap-planning-cycle,,,15,3,87,28,57770.69,Critical,,,,Done,true,2026-03-25,2026-03-05,2026-03-25,2026-02-22T14:30,,,,Database Testbed/Attachments/audit-checklist.md,,
Customer interview round two,Second attempt after the first rollback.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,~~Deferred~~ then reinstated,testbed.example.com/customer-interview-round-two,jean.bartik@testbed.example,+31 20 790 1803,5,2,35,37,8682.3,Medium,Ada Lovelace,"mobile, infra","mobile, platform",Done,false,2026-05-15,2026-05-07,2026-05-15,2026-05-07T19:15,,20 — Roadmap planning cycle,,Database Testbed/Attachments/audit-checklist.md,,
This is a deliberately very long project title that should overflow and force truncation on narrow phone columns,Blocked on a vendor contract renewal.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",*Waiting* on the vendor,testbed.example.com/this-is-a-deliberately-very-long-project-title-that-should-overflow-and-,renee.dubois@testbed.example,+31 20 127 5374,15,2,40,40,64063.78,Low,Grace Hopper,"research, docs, mobile, infra",platform,Blocked,true,2026-03-27,2026-03-13,2026-03-27,2026-03-01T10:15,,33 — Schema registry rollout,,,,
Zero-cost cleanup,Scope confirmed with the steering group.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",**Critical path** for the quarter,testbed.example.com/zero-cost-cleanup,mehmet.ozturk@testbed.example,+31 20 293 9708,4,4,7,77,48342.95,High,,"research, docs, design, urgent, backend",mobile,Backlog,true,2026-05-19,2026-04-30,2026-05-19,2026-04-23T19:30,,12 — Pricing experiment,,Database Testbed/Attachments/release-notes.txt,,
Offline draft sync,Scope confirmed with the steering group.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",**Critical path** for the quarter,,grace.hopper@testbed.example,,18,5,11,61,9419.85,High,Ada Lovelace,"backend, research, mobile, design, urgent, docs","mobile, platform",Backlog,false,2026-05-25,2026-05-11,2026-05-25,2026-05-04T16:15,,29 — Session replay pilot,,,,
Payment retry backoff,Second attempt after the first rollback.,,**Critical path** for the quarter,testbed.example.com/payment-retry-backoff,ada.lovelace@testbed.example,+31 20 707 2000,5,4,,22,4211.27,Medium,Renée Dubois,"urgent, docs","platform, design-systems",Archived,false,2026-03-24,2026-03-07,2026-03-24,2026-02-27T17:45,,,,,,
Audit log retention,Second attempt after the first rollback.,,,testbed.example.com/audit-log-retention,,,21,,53,88,18937.86,Medium,Renée Dubois,research,,Archived,false,2026-03-28,2026-03-12,2026-03-28,2026-03-04T09:45,,"18 — Deal desk workflow, 17 — Legacy importer retirement",,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Empty shell,Blocked on a vendor contract renewal.,,*Waiting* on the vendor,testbed.example.com/empty-shell,,,7,5,67,1,8214.04,High,Jean Bartik,"urgent, backend, design, research",,Backlog,true,2026-04-15,2026-04-11,2026-04-15,2026-03-31T07:45,,,,,,
Feature flag consolidation,Rolled out to ten percent of accounts.,,~~Deferred~~ then reinstated,testbed.example.com/feature-flag-consolidation,mehmet.ozturk@testbed.example,+31 20 534 8581,9,4,94,,55965.18,Low,,"design, docs","mobile, infra",Blocked,true,2026-05-13,2026-05-06,2026-05-13,,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Session replay pilot,Handed to the platform team for the data leg.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,~~Deferred~~ then reinstated,testbed.example.com/session-replay-pilot,,,4,2,30,100,60769.7,Critical,Grace Hopper,"urgent, infra, backend, mobile",infra,Done,false,2026-03-09,2026-02-27,2026-03-09,2026-02-21T10:30,,"06 — Mobile navigation sweep, 08 — Rate limiter rollout",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Bulk export tooling,Blocked on a vendor contract renewal.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",~~Deferred~~ then reinstated,,mehmet.ozturk@testbed.example,+31 20 837 8892,1,1,90,,5598.88,High,Ada Lovelace,"urgent, design, infra, research","design-systems, platform",Done,false,2026-02-06,2026-01-27,2026-02-06,2026-01-24T15:30,,"10 — Accessibility audit, 04 — Billing webhook retries",,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Region failover drill,Waiting on a decision about the phone build.,,~~Deferred~~ then reinstated,testbed.example.com/region-failover-drill,renee.dubois@testbed.example,+31 20 494 4905,17,3,85,69,52494.52,Low,Mehmet Öztürk,"mobile, research","platform, mobile",In Review,false,2026-04-08,2026-04-06,2026-04-08,2026-03-31T10:45,,,,,,
Push token hygiene,Handed to the platform team for the data leg.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,*Waiting* on the vendor,testbed.example.com/push-token-hygiene,grace.hopper@testbed.example,+31 20 263 7379,6,4,27,,35398.38,Medium,Renée Dubois,"design, urgent, research, infra, backend",,Done,false,2026-03-01,2026-02-28,2026-03-01,2026-02-16T19:45,,,,,,
Schema registry rollout,Blocked on a vendor contract renewal.,,~~Deferred~~ then reinstated,,mehmet.ozturk@testbed.example,+31 20 814 7329,20,5,81,88,79859.66,Critical,,,"infra, design-systems",Blocked,false,,2026-02-28,2026-03-10,2026-02-28T10:15,,,,,,
Support macro rewrite,Rolled out to ten percent of accounts.,,**Critical path** for the quarter,testbed.example.com/support-macro-rewrite,grace.hopper@testbed.example,+31 20 887 8849,8,3,97,40,7968.39,High,Ada Lovelace,,mobile,In Progress,false,2026-05-17,2026-05-09,2026-05-17,2026-05-02T10:30,,,,,,
Sandbox parity fixes,Blocked on a vendor contract renewal.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",,testbed.example.com/sandbox-parity-fixes,ada.lovelace@testbed.example,+31 20 730 1104,9,5,65,46,17919.58,Low,,"design, docs, backend",,In Progress,false,2026-02-01,2026-01-28,2026-02-01,2026-01-26T08:15,,24 — Offline draft sync,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
"Sparse record, title only",,,,,,,,,,,,,,,,,,,,,,,,,,,
